FALSE POSITIVE REPORT
======================================================================

Model: D:\VoiceHelper\wakeword_training\lenya\lenya.onnx
Negative directory: D:\VoiceHelper\wakeword_training\lenya\lenya\negative_test
Total files: 1000

STATISTICS
----------------------------------------------------------------------
Average: 0.826833
Median: 0.955460
Maximum: 0.969140
Minimum: 0.000000
Score >= 0.9: 777/1000
Score >= 0.8: 835/1000
Score >= 0.7: 849/1000
Score >= 0.5: 869/1000
Score >= 0.3: 887/1000
Score >= 0.1: 903/1000

TOP-20
----------------------------------------------------------------------
 1. score=0.969140 duration=2.18s file=9785953000000.wav
 2. score=0.968464 duration=2.18s file=9790375000000.wav
 3. score=0.968226 duration=3.68s file=9699625000000.wav
 4. score=0.968177 duration=3.54s file=9740562000000.wav
 5. score=0.967739 duration=3.54s file=9628468000000.wav
 6. score=0.967494 duration=3.47s file=9626312000000.wav
 7. score=0.967430 duration=2.15s file=9723625000000.wav
 8. score=0.967376 duration=2.08s file=9820218000000.wav
 9. score=0.967348 duration=3.61s file=9710781000000.wav
10. score=0.967346 duration=2.07s file=9725859000000.wav
11. score=0.967316 duration=3.60s file=9604937000000.wav
12. score=0.967213 duration=3.54s file=9667906000000.wav
13. score=0.967179 duration=1.96s file=9627640000000.wav
14. score=0.967039 duration=2.96s file=9718296000000.wav
15. score=0.967033 duration=3.40s file=9609218000000.wav
16. score=0.966930 duration=3.56s file=9635031000000.wav
17. score=0.966928 duration=3.78s file=9761359000000.wav
18. score=0.966900 duration=3.47s file=9619859000000.wav
19. score=0.966748 duration=3.55s file=9645937000000.wav
20. score=0.966695 duration=3.76s file=9814234000000.wav

ALL FILES SORTED BY SCORE
----------------------------------------------------------------------
   1. score=0.969140 duration=2.18s file=9785953000000.wav
   2. score=0.968464 duration=2.18s file=9790375000000.wav
   3. score=0.968226 duration=3.68s file=9699625000000.wav
   4. score=0.968177 duration=3.54s file=9740562000000.wav
   5. score=0.967739 duration=3.54s file=9628468000000.wav
   6. score=0.967494 duration=3.47s file=9626312000000.wav
   7. score=0.967430 duration=2.15s file=9723625000000.wav
   8. score=0.967376 duration=2.08s file=9820218000000.wav
   9. score=0.967348 duration=3.61s file=9710781000000.wav
  10. score=0.967346 duration=2.07s file=9725859000000.wav
  11. score=0.967316 duration=3.60s file=9604937000000.wav
  12. score=0.967213 duration=3.54s file=9667906000000.wav
  13. score=0.967179 duration=1.96s file=9627640000000.wav
  14. score=0.967039 duration=2.96s file=9718296000000.wav
  15. score=0.967033 duration=3.40s file=9609218000000.wav
  16. score=0.966930 duration=3.56s file=9635031000000.wav
  17. score=0.966928 duration=3.78s file=9761359000000.wav
  18. score=0.966900 duration=3.47s file=9619859000000.wav
  19. score=0.966748 duration=3.55s file=9645937000000.wav
  20. score=0.966695 duration=3.76s file=9814234000000.wav
  21. score=0.966654 duration=3.45s file=9643796000000.wav
  22. score=0.966651 duration=2.18s file=9714406000000.wav
  23. score=0.966636 duration=3.72s file=9679296000000.wav
  24. score=0.966622 duration=3.53s file=9670109000000.wav
  25. score=0.966594 duration=3.51s file=9632843000000.wav
  26. score=0.966588 duration=3.49s file=9663671000000.wav
  27. score=0.966578 duration=2.17s file=9803968000000.wav
  28. score=0.966578 duration=2.16s file=9700984000000.wav
  29. score=0.966565 duration=3.62s file=9720015000000.wav
  30. score=0.966456 duration=3.83s file=9770640000000.wav
  31. score=0.966383 duration=2.14s file=9776734000000.wav
  32. score=0.966345 duration=3.72s file=9795812000000.wav
  33. score=0.966320 duration=3.80s file=9766000000000.wav
  34. score=0.966221 duration=3.53s file=9665781000000.wav
  35. score=0.966217 duration=3.87s file=9800328000000.wav
  36. score=0.966203 duration=2.33s file=9612906000000.wav
  37. score=0.966189 duration=3.56s file=9613531000000.wav
  38. score=0.966189 duration=2.04s file=9746578000000.wav
  39. score=0.966050 duration=2.41s file=9773390000000.wav
  40. score=0.965884 duration=3.49s file=9637234000000.wav
  41. score=0.965872 duration=3.53s file=9600734000000.wav
  42. score=0.965872 duration=3.52s file=9617734000000.wav
  43. score=0.965855 duration=3.70s file=9681531000000.wav
  44. score=0.965810 duration=2.28s file=9767421000000.wav
  45. score=0.965801 duration=2.44s file=9737609000000.wav
  46. score=0.965799 duration=3.69s file=9742828000000.wav
  47. score=0.965747 duration=2.44s file=9791578000000.wav
  48. score=0.965740 duration=3.58s file=9724484000000.wav
  49. score=0.965690 duration=3.73s file=9695156000000.wav
  50. score=0.965654 duration=3.61s file=9701843000000.wav
  51. score=0.965635 duration=3.58s file=9715343000000.wav
  52. score=0.965603 duration=3.68s file=9686109000000.wav
  53. score=0.965599 duration=3.69s file=9798062000000.wav
  54. score=0.965578 duration=3.63s file=9749734000000.wav
  55. score=0.965568 duration=2.93s file=9682078000000.wav
  56. score=0.965559 duration=3.59s file=9736062000000.wav
  57. score=0.965542 duration=3.77s file=9729015000000.wav
  58. score=0.965540 duration=3.76s file=9818859000000.wav
  59. score=0.965535 duration=2.08s file=9728109000000.wav
  60. score=0.965533 duration=3.45s file=9602859000000.wav
  61. score=0.965518 duration=3.48s file=9611390000000.wav
  62. score=0.965487 duration=3.55s file=9654781000000.wav
  63. score=0.965485 duration=3.42s file=9659218000000.wav
  64. score=0.965408 duration=2.30s file=9796140000000.wav
  65. score=0.965344 duration=3.60s file=9683859000000.wav
  66. score=0.965319 duration=1.95s file=9614843000000.wav
  67. score=0.965302 duration=3.74s file=9821062000000.wav
  68. score=0.965287 duration=3.65s file=9745109000000.wav
  69. score=0.965232 duration=3.46s file=9656953000000.wav
  70. score=0.965217 duration=2.15s file=9762734000000.wav
  71. score=0.965212 duration=3.37s file=9661406000000.wav
  72. score=0.965180 duration=3.75s file=9717765000000.wav
  73. score=0.965177 duration=2.10s file=9732828000000.wav
  74. score=0.965137 duration=3.72s file=9804812000000.wav
  75. score=0.965115 duration=3.45s file=9641625000000.wav
  76. score=0.965060 duration=3.55s file=9722250000000.wav
  77. score=0.965042 duration=2.35s file=9749062000000.wav
  78. score=0.965023 duration=2.65s file=9820390000000.wav
  79. score=0.965018 duration=3.73s file=9807046000000.wav
